,Soccer_Ball,accordian,dollar_bill,motorbike,accuracy,macro avg,weighted avg
precision,1.0,1.0,0.5,0.5,0.625,0.75,0.75
recall,0.5,0.5,1.0,0.5,0.625,0.625,0.625
f1-score,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.625,0.625,0.625
support,2.0,2.0,2.0,2.0,0.625,8.0,8.0
