,daisy,dandelion,roses,sunflowers,tulips,accuracy,macro avg,weighted avg
precision,0.36764705882352944,0.3742690058479532,0.2891566265060241,0.3333333333333333,0.47058823529411764,0.3569482288828338,0.3669988519609915,0.3714688842287036
recall,0.1968503937007874,0.7150837988826816,0.1875,0.4928571428571429,0.1,0.3569482288828338,0.3384582670881224,0.3569482288828338
f1-score,0.25641025641025644,0.49136276391554695,0.22748815165876776,0.39769452449567727,0.16494845360824742,0.3569482288828338,0.3075808300176992,0.3156750772806841
support,127.0,179.0,128.0,140.0,160.0,0.3569482288828338,734.0,734.0
