,daisy,dandelion,roses,sunflowers,tulips,accuracy,macro avg,weighted avg
precision,0.48,0.43986254295532645,0.35294117647058826,0.5182481751824818,0.4110429447852761,0.444141689373297,0.4404189678787345,0.44031809464363814
recall,0.28346456692913385,0.7150837988826816,0.1875,0.5071428571428571,0.41875,0.444141689373297,0.42238824459093455,0.444141689373297
f1-score,0.3564356435643565,0.5446808510638298,0.24489795918367344,0.5126353790613719,0.4148606811145511,0.444141689373297,0.41470210279755654,0.42542070830453577
support,127.0,179.0,128.0,140.0,160.0,0.444141689373297,734.0,734.0
