,daisy,dandelion,roses,sunflowers,tulips,accuracy,macro avg,weighted avg
precision,0.6741573033707865,0.6650943396226415,0.6363636363636364,0.6492537313432836,0.47619047619047616,0.6057298772169167,0.6202118973781648,0.6174662693322229
recall,0.47244094488188976,0.7833333333333333,0.4444444444444444,0.6214285714285714,0.625,0.6057298772169167,0.5893294588176478,0.6057298772169167
f1-score,0.5555555555555556,0.7193877551020408,0.5233644859813084,0.635036496350365,0.5405405405405405,0.6057298772169167,0.5947769667059621,0.6021567158023264
support,127.0,180.0,126.0,140.0,160.0,0.6057298772169167,733.0,733.0
