,daisy,dandelion,roses,sunflowers,tulips,accuracy,macro avg,weighted avg
precision,0.4393939393939394,0.3931888544891641,0.3516483516483517,0.34328358208955223,0.3269230769230769,0.373806275579809,0.37088756090881686,0.3700574491391566
recall,0.2283464566929134,0.7055555555555556,0.25396825396825395,0.4928571428571429,0.10625,0.373806275579809,0.3573954818147732,0.373806275579809
f1-score,0.3005181347150259,0.5049701789264414,0.2949308755760368,0.404692082111437,0.16037735849056603,0.373806275579809,0.3330977259639014,0.3390709338229742
support,127.0,180.0,126.0,140.0,160.0,0.373806275579809,733.0,733.0
