,daisy,dandelion,roses,sunflowers,tulips,accuracy,macro avg,weighted avg
precision,0.6483516483516484,0.6339285714285714,0.5888888888888889,0.65,0.5132275132275133,0.6021798365122616,0.6068793243793245,0.6053243235974843
recall,0.4645669291338583,0.7932960893854749,0.4140625,0.65,0.60625,0.6021798365122616,0.5856351037038665,0.6021798365122616
f1-score,0.5412844036697249,0.7047146401985112,0.4862385321100917,0.65,0.5558739255014327,0.6021798365122616,0.587622300295952,0.5954569482996043
support,127.0,179.0,128.0,140.0,160.0,0.6021798365122616,734.0,734.0
