,daisy,dandelion,roses,sunflowers,tulips,accuracy,macro avg,weighted avg
precision,0.5531914893617021,0.5903083700440529,0.5070422535211268,0.6206896551724138,0.4263959390862944,0.5395095367847411,0.539525541437118,0.5394302831273445
recall,0.4094488188976378,0.7486033519553073,0.28125,0.6428571428571429,0.525,0.5395095367847411,0.5214318627420176,0.5395095367847411
f1-score,0.47058823529411764,0.6600985221674877,0.36180904522613067,0.6315789473684211,0.47058823529411764,0.5395095367847411,0.5189325970700549,0.528540966509422
support,127.0,179.0,128.0,140.0,160.0,0.5395095367847411,734.0,734.0
