,Soccer_Ball,accordian,dollar_bill,motorbike,accuracy,macro avg,weighted avg
precision,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.8333333333333333,0.8333333333333333
recall,0.5,0.5,1.0,1.0,0.75,0.75,0.75
f1-score,0.6666666666666666,0.6666666666666666,0.8,0.8,0.75,0.7333333333333334,0.7333333333333334
support,2.0,2.0,2.0,2.0,0.75,8.0,8.0
