,Soccer_Ball,accordian,dollar_bill,motorbike,accuracy,macro avg,weighted avg
precision,0.5,1.0,1.0,0.6666666666666666,0.75,0.7916666666666666,0.7916666666666666
recall,0.5,0.5,1.0,1.0,0.75,0.75,0.75
f1-score,0.5,0.6666666666666666,1.0,0.8,0.75,0.7416666666666667,0.7416666666666667
support,2.0,2.0,2.0,2.0,0.75,8.0,8.0
