,Soccer_Ball,accordian,dollar_bill,motorbike,accuracy,macro avg,weighted avg
precision,0.0,1.0,0.6666666666666666,0.3333333333333333,0.5,0.49999999999999994,0.49999999999999994
recall,0.0,0.5,1.0,0.5,0.5,0.5,0.5
f1-score,0.0,0.6666666666666666,0.8,0.4,0.5,0.4666666666666667,0.4666666666666667
support,2.0,2.0,2.0,2.0,0.5,8.0,8.0
