,daisy,dandelion,roses,sunflowers,tulips,accuracy,macro avg,weighted avg
precision,0.5822784810126582,0.5508474576271186,0.46078431372549017,0.5103448275862069,0.4269005847953216,0.504774897680764,0.5062311329493591,0.5060206035746537
recall,0.36220472440944884,0.7222222222222222,0.373015873015873,0.5285714285714286,0.45625,0.504774897680764,0.48845284964379443,0.504774897680764
f1-score,0.4466019417475728,0.625,0.41228070175438597,0.519298245614035,0.44108761329305135,0.504774897680764,0.48885370048180904,0.4971917974568179
support,127.0,180.0,126.0,140.0,160.0,0.504774897680764,733.0,733.0
