,daisy,dandelion,roses,sunflowers,tulips,accuracy,macro avg,weighted avg
precision,0.32978723404255317,0.4103585657370518,0.33636363636363636,0.3433734939759036,0.36607142857142855,0.3669849931787176,0.35719087173811476,0.36121835807086883
recall,0.2440944881889764,0.5722222222222222,0.29365079365079366,0.40714285714285714,0.25625,0.3669849931787176,0.35467207224096986,0.3669849931787176
f1-score,0.28054298642533937,0.47795823665893267,0.3135593220338983,0.37254901960784315,0.3014705882352941,0.3669849931787176,0.34921603059226153,0.35683775349746555
support,127.0,180.0,126.0,140.0,160.0,0.3669849931787176,733.0,733.0
