,daisy,dandelion,roses,sunflowers,tulips,accuracy,macro avg,weighted avg
precision,0.35454545454545455,0.3940677966101695,0.34513274336283184,0.410958904109589,0.3046875,0.3683492496589359,0.36187847972560894,0.362524486161204
recall,0.30708661417322836,0.5166666666666667,0.30952380952380953,0.42857142857142855,0.24375,0.3683492496589359,0.3611197037870266,0.3683492496589359
f1-score,0.3291139240506329,0.4471153846153847,0.3263598326359832,0.4195804195804196,0.2708333333333333,0.3683492496589359,0.3586005788431507,0.3621748548048098
support,127.0,180.0,126.0,140.0,160.0,0.3683492496589359,733.0,733.0
