,daisy,dandelion,roses,sunflowers,tulips,accuracy,macro avg,weighted avg
precision,0.6190476190476191,0.5991379310344828,0.4742268041237113,0.5664335664335665,0.4745762711864407,0.548431105047749,0.5466844383651641,0.5476798843320217
recall,0.4094488188976378,0.7722222222222223,0.36507936507936506,0.5785714285714286,0.525,0.548431105047749,0.5300643669541307,0.548431105047749
f1-score,0.4928909952606635,0.6747572815533981,0.4125560538116592,0.5724381625441697,0.4985163204747775,0.548431105047749,0.5302317627289337,0.5401630066713958
support,127.0,180.0,126.0,140.0,160.0,0.548431105047749,733.0,733.0
