,daisy,dandelion,roses,sunflowers,tulips,accuracy,macro avg,weighted avg
precision,0.2777777777777778,0.23046875,0.1875,0.3128834355828221,0.2484472049689441,0.2547683923705722,0.2514154336659088,0.25079961553733504
recall,0.1968503937007874,0.329608938547486,0.09375,0.36428571428571427,0.25,0.2547683923705722,0.24689900930679753,0.2547683923705722
f1-score,0.23041474654377883,0.2712643678160919,0.125,0.3366336633663366,0.24922118380062303,0.2547683923705722,0.2425067923053661,0.2463529930919989
support,127.0,179.0,128.0,140.0,160.0,0.2547683923705722,734.0,734.0
