,daisy,dandelion,roses,sunflowers,tulips,accuracy,macro avg,weighted avg
precision,0.5934065934065934,0.603448275862069,0.55,0.5874125874125874,0.48502994011976047,0.5648021828103683,0.5638594793602021,0.5636096584921333
recall,0.4251968503937008,0.7777777777777778,0.4365079365079365,0.6,0.50625,0.5648021828103683,0.549146512935883,0.5648021828103683
f1-score,0.4954128440366973,0.6796116504854369,0.48672566371681414,0.5936395759717314,0.4954128440366972,0.5648021828103683,0.5501605156494754,0.5579134482814075
support,127.0,180.0,126.0,140.0,160.0,0.5648021828103683,733.0,733.0
