,daisy,dandelion,roses,sunflowers,tulips,accuracy,macro avg,weighted avg
precision,0.5753424657534246,0.4637096774193548,0.43820224719101125,0.4805194805194805,0.378698224852071,0.45566166439290584,0.4672944191470685,0.46332082057475416
recall,0.33070866141732286,0.6388888888888888,0.30952380952380953,0.5285714285714286,0.4,0.45566166439290584,0.44153855768028993,0.45566166439290584
f1-score,0.42000000000000004,0.5373831775700935,0.3627906976744187,0.5034013605442177,0.3890577507598784,0.45566166439290584,0.44252659730972166,0.44816648085588634
support,127.0,180.0,126.0,140.0,160.0,0.45566166439290584,733.0,733.0
